시도,시군구,읍면동/구,읍/면/리/동,리,위도,경도
경상남도,진주시,,,,35.180325,128.107646
경상남도,진주시,호탄동,,,35.1645,128.1233
경상남도,진주시,가좌동,,,35.1561,128.1033
경상남도,진주시,귀곡동,,,35.1687,128.0163
경상남도,진주시,유곡동,,,35.203801,128.058888
경상남도,진주시,하촌동,,,35.2178,128.0815
경상남도,진주시,장재동,,,35.2152,128.1018
경상남도,진주시,초전동,,,35.206,128.1168
경상남도,진주시,옥봉동,,,35.1944116,128.0934076
경상남도,진주시,장대동,,,35.1932,128.0881
경상남도,진주시,수정동,,,35.1978,128.0856
경상남도,진주시,봉래동,,,35.202,128.0845
경상남도,진주시,봉곡동,,,35.194818,128.075063
경상남도,진주시,계동,,,35.196684,128.0808066
경상남도,진주시,중안동,,,35.193593,128.081263
경상남도,진주시,평안동,,,35.197618,128.083188
경상남도,진주시,대안동,,,35.1948,128.0839
경상남도,진주시,인사동,,,35.1911,128.0741
경상남도,진주시,남성동,,,35.18896,128.077213
경상남도,진주시,동성동,,,35.191551,128.0852
경상남도,진주시,본성동,,,35.1906,128.0822
경상남도,진주시,칠암동,,,35.1829101,128.0933868
경상남도,진주시,강남동,,,35.1839,128.0873
경상남도,진주시,주약동,,,35.1706,128.0848
경상남도,진주시,망경동,,,35.182035,128.080713
경상남도,진주시,충무공동,,,35.1748998,128.150337
경상남도,진주시,가호동,,,35.1600479,128.1066507
경상남도,진주시,판문동,,,35.1669356,128.0546246
경상남도,진주시,이현동,,,35.192784,128.0617454
경상남도,진주시,신안동,,,35.1844853,128.0689824
경상남도,진주시,평거동,,,35.17381,128.065425
경상남도,진주시,초장동,,,35.2046263,128.1145375
경상남도,진주시,상평동,,,35.176151,128.109087
경상남도,진주시,하대동,,,35.1893907,128.1273873
경상남도,진주시,상대동,,,35.1800966,128.1117591
경상남도,진주시,상봉동,,,35.1995746,128.0749478
경상남도,진주시,중앙동,,,35.192101,128.08615
경상남도,진주시,성북동,,,35.195735,128.078213
경상남도,진주시,천전동,,,35.1831498,128.0854976
경상남도,진주시,수곡면,,,35.198643,127.93215
경상남도,진주시,수곡면,원계리,,35.2166446,127.8980226
경상남도,진주시,수곡면,원외리,,35.161,127.9469
경상남도,진주시,수곡면,원내리,,35.1681,127.9542
경상남도,진주시,수곡면,효자리,,35.1901323,127.9429566
경상남도,진주시,수곡면,창촌리,,35.1840911,127.9247084
경상남도,진주시,수곡면,대천리,,35.2009389,127.9270328
경상남도,진주시,수곡면,사곡리,,35.2293,127.915
경상남도,진주시,수곡면,자매리,,35.2385006,127.9308564
경상남도,진주시,대평면,,,35.23266,127.960838
경상남도,진주시,대평면,내촌리,,35.167801,127.991963
경상남도,진주시,대평면,신풍리,,35.1963,128.0025
경상남도,진주시,대평면,당촌리,,35.173635,127.9702045
경상남도,진주시,대평면,하촌리,,35.1978,127.9696
경상남도,진주시,대평면,상촌리,,35.2149,127.9681
경상남도,진주시,대평면,대평리,,35.2341,127.9673
경상남도,진주시,명석면,,,35.2195758,128.0403525
경상남도,진주시,명석면,우수리,,35.2142554,128.0216986
경상남도,진주시,명석면,용산리,,35.2362774,128.0169734
경상남도,진주시,명석면,가화리,,35.2202,127.9996
경상남도,진주시,명석면,오미리,,35.2547,127.9836
경상남도,진주시,명석면,외율리,,35.2776,128.0036
경상남도,진주시,명석면,신기리,,35.2915704,128.0313958
경상남도,진주시,명석면,계원리,,35.276,128.0385
경상남도,진주시,명석면,덕곡리,,35.2635,128.0256
경상남도,진주시,명석면,남성리,,35.282725,128.054287
경상남도,진주시,명석면,왕지리,,35.247335,128.0569444
경상남도,진주시,명석면,관지리,,35.2351,128.0438
경상남도,진주시,미천면,,,35.299225,128.115438
경상남도,진주시,미천면,효자리,,35.326,128.0676
경상남도,진주시,미천면,안간리,,35.3191129,128.084747
경상남도,진주시,미천면,미곡리,,35.3222536,128.1118788
경상남도,진주시,미천면,상미리,,35.336915,128.14725
경상남도,진주시,미천면,어옥리,,35.3061,128.139425
경상남도,진주시,미천면,벌당리,,35.2792,128.1258
경상남도,진주시,미천면,반지리,,35.2705,128.111813
경상남도,진주시,미천면,향양리,,35.2933,128.1004
경상남도,진주시,미천면,오방리,,35.2989,128.1185
경상남도,진주시,집현면,,,35.2390449,128.0863668
경상남도,진주시,집현면,덕오리,,35.246,128.1207
경상남도,진주시,집현면,신당리,,35.2275,128.1189
경상남도,진주시,집현면,장흥리,,35.232293,128.104887
경상남도,진주시,집현면,냉정리,,35.253675,128.0953
경상남도,진주시,집현면,정수리,,35.2922,128.075488
경상남도,진주시,집현면,정평리,,35.2884,128.0627
경상남도,진주시,집현면,대암리,,35.2659,128.0813
경상남도,진주시,집현면,사촌리,,35.2242,128.0615
경상남도,진주시,집현면,봉강리,,35.2413,128.074
경상남도,진주시,집현면,지내리,,35.2482,128.0817
경상남도,진주시,금산면,,,35.214016,128.1479992
경상남도,진주시,금산면,장사리,,35.2209,128.1512
경상남도,진주시,금산면,중천리,,35.2132,128.138
경상남도,진주시,금산면,송백리,,35.1998,128.1407
경상남도,진주시,금산면,속사리,,35.1885527,128.1445877
경상남도,진주시,금산면,갈전리,,35.1844369,128.1610988
경상남도,진주시,금산면,용아리,,35.2091835,128.157136
